// 0.7.1

1941	1941 - 反击战
dw	吞食天地 / 王朝战争 (世界版)
dwj	吞食天地 (日版)
dyger	特攻队
dynabb	日本职棒
dynamcop	刑事快打 / 爆裂刑事
edrandy	爱德华 蓝迪
esb	星球大战 - 帝国的反击
esprade	长空超少年 / ESP Ra.De.
eswatbl	电脑战警 E-Swat (盗版)
fantzone	神奇地带 (美版)
fantzono	神奇地带 (日版)
fs_lx5	Flintstones (弹珠)
fstarfrc	最终星际武力
fvipers	格斗毒蛇
gallop	雷驰 - 武装警察
gbusters	疯狂警察 / Gang Busters
genpeitd	源平讨魔传
ginkun	前代末间大爆笑
goldnaxe	战斧
gstriker	足球盛况
gunblade	纽约枪战
heavyunt	Heavy Unit
i500_11r	Indianapolis 500 (弹珠)
ij_l7	Indiana Jones (弹珠)
imgfight	梦幻战机
jackal	赤色要塞 / 特殊部队 豺
jb_10r	Jack Pot (弹珠)
jd_l7	Judge Dredd (弹珠)
jdredd	超时空战警
jedi	星球大战 - Jedi 归来
jm_12r	Johnny Mnemonic (弹珠)
jy_12	Junkyard (弹珠)
kick	小丑接气球
kidniki	快杰洋枪
kinst	杀手学堂
kinst2	杀手学堂 2
kodj	龙王战士
kroozr	飞碟大战
lastbrxa	Last Bronx - 东京番外地
ldrun4	超级运动员 IV - 逃离帝国
lifefrce	生命力量 (美版)
lifefrcj	生命力量 (日版)
loht	汤玛魔界历险
lotlot	空间转移
macrossp	超时空要塞 Macross Plus
mb_10	Monster Bash (弹珠)
megaman	洛克人 - 力量对决
metrocrs	障碍赛跑
midres	午夜攻击
midresj	午夜攻击 (日版)
mjleague	棒球联盟
mk2	真人快打 II
mk3	真人快打 3 / 终极真人快打 3
mm_10	Medieval Madness (弹珠)
mpangj	魔鬼气泡
mrheli	Mr.HELI 大冒险
mstadium	世界棒球 / Main Stadium
mx5000	冥王战机 / Flack Attack / MX5000
narc	毒品搜查官
nbaf_31	NBA Fast Break (弹珠)
nbahangt	NBA 篮球 悬空
nf_23x	No Fear (弹珠)
ngg_13	No Good Gofers (弹珠)
nspirit	最后的忍道 / Ninja Spirit (美版)
nspiritj	最后的忍道
offroadc	越野车队
opengolf	柯拿米冠军高尔夫公开赛 / Golfing Greats 2
openice	冰上曲棍球公开赛 - 二对二双打
opwolf3	野狼行动 3
pacland	小精灵领域 / Pac-Land
pacmanij	小精灵 - 疯狂吃豆 (日版)
pipedrm	梦幻之笛
pltkids	飞行小子
pop_lx5	大力水手 (弹珠)
prmrsocr	顶级足球
puzldama	对战解迷球
qadj	龙之迷题
quartet	星战四人组
quizmoon	美少女战士问答 - 智力 体力 时运
recordbr	世界铁人运动会 / Recordbreaker
renegade	热血硬派 国夫君 / 叛徒 (美版)
revx	X 革命
ringdest	超级摔角霸王 - 连环爆裂
rmpgwt	城市大金刚 - 毁灭世界 / Rampage World Tour
robocop2	机械战警 / 铁甲威龙 2
rs_l6	Red and Ted's Roadshow (弹珠)
rushcrsh	高速追击令 / Rush & Crash
ryukendn	忍者龙剑传 (日版)
ryukyu	琉球
sc_18	Safe Cracker (弹珠)
schamp	音速小子格斗
scontra	超级魂斗罗
scudrace	疾行狂鏒
sdi	SDI - 战略防卫构想
sfzch	少年街霸 (CPS Changer版)
sgemf	超级口袋战士
sgt24h	超级 GT 赛车 24 小时
sgunner	反恐精英 / Steel Gunner
shollow	射击谷 / Satan's Hollow (set 1)
shollow2	射击谷 / Satan's Hollow (set 2)
sidearms	绝对合体 / Side Arms - Hyper Dyne
skykid	天空小子
slapshot	火爆群龙 - 守门大对决 / Slap Shot
soccerss	足球超级明星
solarfox	太阳之狐 (音效)
solfigtr	沉默战士
spf2t	超级方块霸王 2 Turbo
srumbler	高速追击令 / The Speed Rumbler (美版)
ss_15	Scared Stiff (弹珠)
ssf2t	超级街头霸王 II Turbo
stcc	世嘉 巡回赛车锦标赛
sttng_l7	Star Trek: The Next Generation (弹珠)
